sec,nanosec,accel_x,accel_y,accel_z,accel_nograv_x,accel_nograv_y,accel_nograv_z,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,gyro_x,gyro_y,gyro_z,ori_qx,ori_qy,ori_qz,ori_qw
0,0,0.23954402242325173,-0.27188871724453056,10.246123294221048,-0.12891773312193633,0.13167342575414862,0.4508726311792427,0.0,-0.0,-0.0,0.030849361726839667,-0.014697006782912223,-0.019822891470189796,0.029035991964834414,0.01800040820745678,0.0034701163033710033,-0.019966151692719977,-0.017646500436727244,-0.007347404538331523,0.9996179117320128
0,10000000,0.2528432681219552,-0.26680064657408403,10.189321445621673,-0.11155726486299873,0.1312763972079439,0.39449387216673204,0.0003023444968164313,-0.00014039035334789673,-0.00017663878720020065,0.029648471751782136,-0.01338172560053784,-0.015598830568204925,0.030561129240754274,0.02126367502161621,0.002756479635894818,-0.019814526816431765,-0.017551509958691248,-0.007322056910484035,0.9996227871091228
0,20000000,0.26424033079475473,-0.262409582968448,10.135892633004683,-0.09597881444464079,0.13024088758503713,0.3414410508482285,0.0005935184170198227,-0.0002676583876493055,-0.00031380047103723996,0.0286122763701111,-0.012073607109009022,-0.011921927567875133,0.03154805976196371,0.023375117758624237,0.0022945005258328925,-0.01965640070889942,-0.017443156490520365,-0.007299107085009863,0.999627973417401
0,30000000,0.2738526526350983,-0.25876903857310224,10.085832713917526,-0.08218238186686244,0.12856689688542813,0.29171416722373206,0.0008750796056062882,-0.0003819076538622568,-0.0004167903336398382,0.027722955403420724,-0.010779036119092771,-0.008758923092260333,0.03199669822234401,0.024334828237189843,0.0020844164965320923,-0.019494563090069424,-0.017327162096962962,-0.007277566472041624,0.9996333170167139
0,40000000,0.2817950182115289,-0.25593142574275535,10.039137020201887,-0.07016796712966372,0.12625442510911702,0.2453132212932427,0.0011484077058412367,-0.00048330555106979034,-0.0004905810633739627,0.026962688673305247,-0.00950439744155613,-0.0060765577644204625,0.03190695923995869,0.024142898380180314,0.002126465003785356,-0.01933180368048894,-0.017209248092180145,-0.00725643709312741,0.9996386683533577
0,50000000,0.2881799231368223,-0.2539481946083589,9.99580051501322,-0.05993557023304462,0.12330347225610382,0.2022382130567606,0.0014147041593446374,-0.0005720833264462044,-0.0005398127548326137,0.026313656001358862,-0.008256075887166111,-0.003841572207415454,0.03127875735707636,0.022799420214596567,0.0024208834357679473,-0.01917091242817956,-0.017095134936035313,-0.007234711057764037,0.9996438823071446
0,60000000,0.2931179407652319,-0.25286997315570103,9.955817934257123,-0.05148519117700513,0.11971403832638843,0.1624891425142856,0.0016749922054941635,-0.0006485360752588321,-0.0005687929088353805,0.025758037209175758,-0.00704045626668973,-0.0020207070443052306,0.030112007059967354,0.020304485864463432,0.0029679091228348616,-0.01901467947339871,-0.016990542241203156,-0.007211370669479707,0.9996488181216148
0,70000000,0.29671808689530565,-0.2527467097028013,9.919183912944352,-0.04481682996154525,0.11548612331997088,0.12606600966581752,0.0019301168824767956,-0.0007130227409213319,-0.0005814964324404315,0.025278012118350148,-0.0058639233908940125,-0.0005807028981497194,0.028406622818464487,0.016658187536645098,0.0037677793572058107,-0.01886589484917134,-0.016901188893117217,-0.007185389161353084,0.9996533389171164
0,80000000,0.29908818248949626,-0.25362781770911264,9.885893096826736,-0.03993048658666498,0.1106197272368512,0.09296881451135666,0.0021807450262656403,-0.0007659661149279628,-0.0005815656389307478,0.024855760550476245,-0.004732862070545983,0.0005116996079911468,0.026162519145283034,0.011860617499591249,0.0048207314225514435,-0.018727347915641814,-0.01683279328463353,-0.007155732060806211,0.9996573107865302
0,90000000,0.3003352144499877,-0.25556232289325737,9.85594023953769,-0.03682616105236436,0.10511485007702943,0.06319755705090299,0.0024273652713304728,-0.0008078528368908877,-0.0005723102478243369,0.02447346232714825,-0.0036536571164126645,0.0012897598510574414,0.023379610675098358,0.005911868055015192,0.006127002633484962,-0.01860182652672398,-0.016791073666869022,-0.007121359183392173,0.9996606014735024
